State_name,FIPS_code,Area_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,State_code
Arizona,04003,Cochise County,35557.0,23732.0,60473.0,11825.0,0.5879814131926645,0.3924396011443123,0.1955418120483522,AZ
Arizona,04005,Coconino County,27052.0,44698.0,73346.0,-17646.0,0.3688272025741008,0.6094129195866168,-0.2405857170125159,AZ
Arizona,04007,Gila County,18377.0,8943.0,27678.0,9434.0,0.6639569333044295,0.3231086061131584,0.340848327191271,AZ
Arizona,04009,Graham County,10749.0,4034.0,14996.0,6715.0,0.716791144305148,0.2690050680181381,0.4477860762870098,AZ
Arizona,04011,Greenlee County,2433.0,1182.0,3688.0,1251.0,0.65970715835141,0.3204989154013015,0.3392082429501085,AZ
Arizona,04012,La Paz County,5129.0,2236.0,7460.0,2893.0,0.6875335120643432,0.2997319034852547,0.3878016085790885,AZ
Arizona,04013,Maricopa County,995665.0,1040774.0,2069475.0,-45109.0,0.4811196076299545,0.5029169233742857,-0.0217973157443312,AZ
Arizona,04015,Mohave County,78535.0,24831.0,104705.0,53704.0,0.7500596915142543,0.2371519984718972,0.5129076930423571,AZ
Arizona,04017,Navajo County,27657.0,23383.0,51783.0,4274.0,0.5340942007994902,0.4515574609427804,0.0825367398567097,AZ
Arizona,04019,Pima County,207758.0,304981.0,520735.0,-97223.0,0.3989706856654536,0.5856740952691868,-0.1867034096037331,AZ
Arizona,04021,Pinal County,107077.0,75106.0,185037.0,31971.0,0.57867885882283,0.4058971989385906,0.1727816598842393,AZ
Arizona,04023,Santa Cruz County,6194.0,13138.0,19561.0,-6944.0,0.3166504779919227,0.6716425540616533,-0.3549920760697306,AZ
Arizona,04025,Yavapai County,91527.0,49602.0,143280.0,41925.0,0.6387981574539363,0.3461892797319933,0.292608877721943,AZ
Arizona,04027,Yuma County,36534.0,32210.0,69926.0,4324.0,0.5224666075565598,0.4606298086548637,0.0618367989016961,AZ
Arkansas,05001,Arkansas County,4304.0,1818.0,6292.0,2486.0,0.684043229497775,0.2889383343928798,0.3951048951048951,AR
Arkansas,05003,Ashley County,5548.0,2125.0,7926.0,3423.0,0.6999747665909665,0.2681049709815796,0.4318697956093869,AR
Arkansas,05005,Baxter County,15836.0,4635.0,21007.0,11201.0,0.7538439567763127,0.2206407388013519,0.5332032179749607,AR
Arkansas,05007,Benton County,73965.0,42249.0,119912.0,31716.0,0.6168273400493696,0.3523333778103943,0.2644939622389752,AR
Arkansas,05009,Boone County,13652.0,3064.0,17114.0,10588.0,0.7977094776206615,0.1790347084258501,0.6186747691948113,AR
Arkansas,05011,Bradley County,2335.0,1214.0,3654.0,1121.0,0.6390257252326218,0.3322386425834702,0.3067870826491516,AR
Arkansas,05013,Calhoun County,1636.0,479.0,2182.0,1157.0,0.7497708524289642,0.2195233730522456,0.5302474793767186,AR
Arkansas,05015,Carroll County,7424.0,4023.0,11797.0,3401.0,0.6293125370856998,0.3410189031109604,0.2882936339747394,AR
Arkansas,05017,Chicot County,1752.0,2260.0,4103.0,-508.0,0.4270046307579819,0.5508164757494516,-0.1238118449914696,AR
Arkansas,05019,Clark County,4616.0,3438.0,8395.0,1178.0,0.5498511018463371,0.4095294818344253,0.1403216200119118,AR
Arkansas,05021,Clay County,4086.0,962.0,5183.0,3124.0,0.78834651746093,0.1856067914335327,0.6027397260273972,AR
Arkansas,05023,Cleburne County,10328.0,1988.0,12680.0,8340.0,0.8145110410094637,0.156782334384858,0.6577287066246056,AR
